Start,End,Quality,TimeInBed,WakeUp,SleepNotes,HeartRate
11/28/15 1:20,11/28/15 7:46,58%,6:25,:),Drank coffee:Drank tea:Worked out,59
11/29/15 22:20,11/30/15 6:20,68%,7:59,:),Drank tea,
11/30/15 21:23,12/1/15 6:19,64%,8:55,:),Drank coffee:Drank tea:Worked out,
12/1/15 23:03,12/2/15 6:20,84%,7:17,:),Drank coffee:Drank tea:Worked out,57
12/2/15 22:19,12/3/15 5:11,75%,6:51,:),Drank coffee:Drank tea,
12/3/15 22:51,12/4/15 5:01,70%,6:09,:),Ate late:Drank coffee:Drank tea,
12/6/15 22:10,12/7/15 5:31,86%,7:20,:),Drank coffee:Drank tea,68
12/7/15 21:20,12/8/15 5:00,86%,7:40,:),Drank tea:Stressful day:Worked out,61
12/8/15 22:17,12/9/15 5:45,79%,7:28,:),Drank coffee:Drank tea:Stressful day:Worked out,
12/9/15 21:57,12/10/15 6:10,93%,8:13,:),Drank tea:Stressful day:Worked out,67
12/13/15 0:08,12/13/15 8:23,77%,8:14,:),Drank coffee,
12/13/15 22:07,12/14/15 6:09,80%,8:02,:),Drank coffee,52
12/15/15 22:32,12/16/15 6:10,75%,7:37,:),Drank coffee:Drank tea:Worked out,
12/16/15 22:20,12/17/15 5:40,84%,7:20,:),Drank coffee:Drank tea:Stressful day,
12/17/15 21:07,12/18/15 5:45,100%,8:37,:),Drank coffee:Drank tea:Worked out,
12/20/15 22:19,12/21/15 6:20,72%,8:00,:|,Drank coffee:Drank tea:Worked out,56
12/21/15 22:06,12/22/15 5:29,80%,7:23,:|,Drank coffee:Worked out,
12/22/15 21:41,12/23/15 5:43,82%,8:01,:),Drank coffee:Drank tea:Worked out,
12/23/15 22:33,12/24/15 6:01,79%,7:27,:),Drank coffee:Drank tea,
12/29/15 22:44,12/30/15 7:00,76%,8:16,:|,Drank coffee,
1/1/16 23:53,1/2/16 8:27,79%,8:33,:|,Drank coffee:Drank tea,71
1/2/16 23:49,1/3/16 8:13,85%,8:24,:),Drank coffee:Drank tea,65
1/3/16 21:44,1/4/16 5:35,69%,7:51,:),Drank coffee,
1/4/16 22:17,1/5/16 5:45,74%,7:28,:|,Drank coffee:Drank tea:Stressful day,
1/5/16 22:18,1/6/16 6:20,66%,8:01,:|,Drank coffee:Worked out,
1/13/16 22:44,1/14/16 6:20,72%,7:35,:|,Ate late:Drank coffee:Drank tea:Stressful day,
1/14/16 22:10,1/15/16 5:28,73%,7:17,:|,Drank coffee:Drank tea:Worked out,
1/17/16 22:00,1/18/16 5:30,76%,7:29,:|,Drank coffee:Drank tea:Worked out,
1/18/16 21:56,1/19/16 5:34,78%,7:38,,Ate late:Drank coffee:Drank tea,
1/19/16 22:46,1/20/16 6:35,75%,7:48,,Drank coffee:Drank tea:Worked out,
1/20/16 21:13,1/21/16 6:29,77%,9:15,,Drank coffee:Drank tea,
1/21/16 21:33,1/22/16 6:23,79%,8:50,,Drank coffee,
1/22/16 22:17,1/23/16 8:14,79%,9:57,,Drank coffee:Worked out,
1/24/16 22:06,1/25/16 6:30,85%,8:23,,Drank coffee:Drank tea:Worked out,
1/25/16 22:27,1/26/16 6:38,88%,8:10,,Drank coffee,
1/26/16 22:58,1/27/16 6:28,83%,7:29,,Drank coffee:Drank tea:Worked out,
1/27/16 22:02,1/28/16 5:23,84%,7:20,,Drank coffee:Drank tea:Worked out,
1/28/16 22:11,1/29/16 5:26,76%,7:15,,Drank coffee:Drank tea:Worked out,
1/29/16 21:47,1/30/16 6:06,88%,8:19,,Drank coffee:Drank tea:Worked out,
1/31/16 22:58,2/1/16 6:19,78%,7:20,,Drank coffee,
2/1/16 22:02,2/2/16 5:27,82%,7:25,,Drank coffee:Drank tea:Worked out,
